id,root,root_pc,quality,is_seventh,symbol,pitch_names,pitch_classes,pcs_tuple
240,Cb,11,maj,False,Cb,"['Cb', 'Eb', 'Gb']","[11, 3, 6]","(3, 6, 11)"
241,Cb,11,min,False,Cbm,"['Cb', 'Ebb', 'Gb']","[11, 2, 6]","(2, 6, 11)"
242,Cb,11,sus2,False,Cbsus2,"['Cb', 'Db', 'Gb']","[11, 1, 6]","(1, 6, 11)"
243,Cb,11,sus4,False,Cbsus4,"['Cb', 'Fb', 'Gb']","[11, 4, 6]","(4, 6, 11)"
244,Cb,11,aug,False,Cbaug,"['Cb', 'Eb', 'G']","[11, 3, 7]","(3, 7, 11)"
245,Cb,11,dim,False,Cbdim,"['Cb', 'Ebb', 'Gbb']","[11, 2, 5]","(2, 5, 11)"
246,Cb,11,maj7,True,Cbmaj7,"['Cb', 'Eb', 'Gb', 'Bb']","[11, 3, 6, 10]","(3, 6, 10, 11)"
247,Cb,11,7,True,Cb7,"['Cb', 'Eb', 'Gb', 'Bbb']","[11, 3, 6, 9]","(3, 6, 9, 11)"
248,Cb,11,min7,True,Cbm7,"['Cb', 'Ebb', 'Gb', 'Bbb']","[11, 2, 6, 9]","(2, 6, 9, 11)"
249,Cb,11,halfdim7,True,Cbm7b5,"['Cb', 'Ebb', 'Gbb', 'Bbb']","[11, 2, 5, 9]","(2, 5, 9, 11)"
250,Cb,11,dim7,True,Cbdim7,"['Cb', 'Ebb', 'Gbb', 'Bbbb']","[11, 2, 5, 8]","(2, 5, 8, 11)"
251,Cb,11,it6,False,CbIt6,"['Abb', 'Cb', 'F']","[7, 11, 5]","(5, 7, 11)"
